display_name;description;image_display_url;title;id;name
Santé;Domaine d'affaires correspondant à la régulation du système de santé, c'est-à-dire la définition des règles de fonctionnement et de leur application ainsi que toutes les spécificités reliées aux domaines médical et social. En ce sens, cette catégorie comprend tous les termes en usage autant du point de vue du malade que de la recherche et de l'analyse médicale, le tout dans un ensemble cohérent des soins à prodiguer, qu'ils soient physiques ou psychologiques. État de complet bien-être physique, mental et social ne consistant pas seulement en une absence de maladie ou d'infirmité.;https://rc.donneesquebec.ca/recherche/images/categories/sante.gif;Santé;d31fbd1d-2dc9-484e-ba6b-9c130d23a9b7;sante
Tourisme, sports et loisirs;Domaine d'affaires correspondant à l'action gouvernementale en matière de loisir, de sport et de tourisme. Ce domaine se traduit par le développement de l'offre touristique, de la mise en marché du Québec et de ses acquis touristiques et toute l'infrastructure visant l'accueil des visiteurs.;https://rc.donneesquebec.ca/recherche/images/categories/tourisme-sports-loisirs.gif;Tourisme, sports et loisirs;dd65e485-592a-48ed-89be-c19204ddc05a;tourisme-sports-loisirs
Politiques sociales;Domaine d'affaires correspondant à la mission sociale du gouvernement. Il touche entre autres les relations avec les citoyens (jeune, famille, aîné, femme), l'immigration, le développement communautaire et l'intégration des individus. Ce domaine inclut également le soutien socioéconomique par le biais des divers programmes gouvernementaux, des personnes en difficulté ou caractérisées comme vulnérables.;https://rc.donneesquebec.ca/recherche/images/categories/politiques-sociales.gif;Politiques sociales;202122d1-3e94-4266-aaea-8ee3c5c13dff;politiques-sociales
Société et culture;Domaine d'affaires correspondant à la mission du gouvernement en matière de culture, notamment au niveau de son développement et de sa diffusion. Le terme « culture et société » réfère à un ensemble des usages, des coutumes, des structures sociales et des manifestations artistiques, culturelles, religieuses et intellectuelles qui définissent un groupe, une société par rapport à une autre.;https://rc.donneesquebec.ca/recherche/images/categories/societe-culture.gif;Société et culture;00c7ac68-461d-4d08-987a-82c0785da462;societe-culture
Loi, justice et sécurité publique;Domaine d'affaires qui correspond à tout ce qui a trait à la législation et son application, tout en reconnaissant les droits des citoyens et leur accès au système de justice. En ce sens, cette catégorie inclut le domaine législatif: préparation des lois et règlements (civil et pénal)  : administration de la justice: protection des personnes, prévention de la criminalité, encadrement des activités policières et administration des décisions des tribunaux.;https://rc.donneesquebec.ca/recherche/images/categories/loi-justice-securite-publique.gif;Loi, justice et sécurité publique;2fb63e49-1dc5-4be7-ad77-1bd7e9cd9413;loi-justice-securite-publique
Éducation et recherche;Domaine d'affaires correspondant au développement et au maintien du système éducatif ainsi que l'accès à celui-ci. Cette catégorie inclut également tout ce qui a trait à l'innovation et à la recherche industrielle et scientifique.;https://rc.donneesquebec.ca/recherche/images/categories/education-recherche.gif;Éducation et recherche;9cc61d74-f537-4002-b3e0-86d840c157c5;education-recherche
Infrastructures;Ensemble des équipements collectifs de base nécessaires à la vie économique de la nation: routes, ponts, voies ferrées, canaux, ports, réseaux de télécommunication, d'énergie, gestion de l'eau.;https://rc.donneesquebec.ca/recherche/images/categories/infrastructures.gif;Infrastructures;f76b730c-f68f-470a-830d-708ef08f7c56;infrastructures
Transport;Ensemble des moyens publics et privés permettant de déplacer, à l'aide d'un équipement de transport, des personnes ou des marchandises sur une distance relativement importante.;https://rc.donneesquebec.ca/recherche/images/categories/transport.gif;Transport;2be1c718-4fdc-425f-b09e-263be63735a2;transport
Économie et entreprises;Domaine d'affaires correspondant au développement de la compétitivité des entreprises et des marchés dans le secteur industriel, de la technologie ou toute autre entreprise à but lucratif.;https://rc.donneesquebec.ca/recherche/images/categories/economie-entreprises.gif;Économie et entreprises;e6b14ede-de27-4fd4-91e5-dfd524a68da1;economie-entreprises
Agriculture et alimentation;Domaine d'affaires correspondant à la mise en valeur, l'utilisation optimale de tout ce qui touche l'agriculture, les pêches et l'alimentation : production, transformation, distribution et commercialisation des produits agricoles et des pêches.;https://rc.donneesquebec.ca/recherche/images/categories/agriculture-alimentation.gif;Agriculture et alimentation;bc655ce8-bfe9-4454-ac5d-702aac657a3b;agriculture-alimentation
Environnement, ressources naturelles et énergie;Domaine d'affaires correspondant à la mise en valeur, l'utilisation optimale du territoire et des ressources énergétiques, forestières et minérales et ce, dans une perspective de développement durable. Cela inclut forêts, gisements de pétrole, de gaz naturel ou de minerai, ressources hydro-électriques et autres biens de même nature qui ont une valeur économique certaine.;https://rc.donneesquebec.ca/recherche/images/categories/environnement-ressources-naturelles-energie.gif;Environnement, ressources naturelles et énergie;d61e0cae-e722-4000-8fb1-88b28399e20c;environnement-ressources-naturelles-energie
Gouvernement et finances;Domaine d'affaires correspondant à la manière dont le pouvoir est exercé par le gouvernement sur les citoyens et l'appareil d'État. Cette catégorie inclut la gestion des services publics et de son administration, le contrôle du processus législatif et démocratique ainsi que le maintien et le développement des relations entretenues par le gouvernement que ce soit du point de vue municipal ou international.;https://rc.donneesquebec.ca/recherche/images/categories/gouvernement-finances.gif;Gouvernement et finances;4223c6b5-f54b-471c-813d-19d6d1cc5f2f;gouvernement-finances
